Staten Island Rolling Sales File.  All Sales From May 2016 - April 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 5/1/2017  Co-op Sales Files as of 5/5/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,30, ,A1,1306 ARDEN AVENUE                        ,            ,10312, 1 , -   , 1 ," 7,500 "," 1,890 ",1952,1,A1, -   ,5/4/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5397,60, ,A1,33 EYLANDT STREET                        ,            ,10312, 1 , -   , 1 ," 10,120 "," 3,516 ",1984,1,A1, -   ,8/10/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5408,7, ,A2,192 BATHGATE STREET                      ,            ,10312, 1 , -   , 1 ," 2,500 ", 572 ,1930,1,A2," 290,000 ",9/2/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,24, ,A5,79 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,845 "," 1,854 ",1986,1,A5," 425,000 ",7/29/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6209,69, ,A5,195 MOSELY AVENUE                        ,            ,10312, 1 , -   , 1 ," 2,665 "," 1,592 ",2007,1,A5," 579,000 ",11/21/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,4, ,A5,35 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,508 "," 1,521 ",1986,1,A5, -   ,7/25/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,15, ,A5,17 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,508 "," 1,521 ",1986,1,A5," 370,000 ",10/14/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,47, ,A5,42 LUCY LOOP                             ,            ,10312, 1 , -   , 1 ," 2,700 "," 1,500 ",2000,1,A5, -   ,10/18/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,50, ,A5,36 LUCY LOOP                             ,            ,10312, 1 , -   , 1 ," 2,870 "," 1,500 ",2000,1,A5," 470,000 ",5/6/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,59, ,A5,91 LORRAINE AVENUE                       ,            ,10312, 1 , -   , 1 ," 1,650 "," 1,548 ",2005,1,A5," 468,000 ",9/7/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,154, ,A1,121 JEANNETTE AVENUE                     ,            ,10312, 1 , -   , 1 ," 4,300 "," 2,500 ",2000,1,A1," 750,000 ",7/5/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,12, ,A2,143 FABIAN STREET                        ,            ,10312, 1 , -   , 1 ," 4,300 "," 2,270 ",1965,1,A2," 675,000 ",3/3/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,35, ,A5,54 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 2,400 "," 1,368 ",2000,1,A5, -   ,1/3/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6215,35, ,A1,124 FABIAN STREET                        ,            ,10312, 1 , -   , 1 ," 7,500 "," 2,864 ",1965,1,A1," 685,000 ",10/18/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,33, ,A5,10 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 2,333 "," 1,515 ",1994,1,A5," 372,500 ",5/27/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,35, ,A5,14 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,333 "," 1,515 ",1994,1,A5," 413,000 ",9/9/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,43, ,A5,123 MOSELY AVENUE                        ,            ,10312, 1 , -   , 1 ," 2,500 "," 1,472 ",2001,1,A5, -   ,2/16/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,46, ,A5,115 MOSELY AVENUE                        ,            ,10312, 1 , -   , 1 ," 2,500 "," 1,472 ",2001,1,A5, -   ,6/28/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,6, ,A5,68 LORRAINE AVENUE                       ,            ,10312, 1 , -   , 1 ," 2,584 "," 1,700 ",2004,1,A5," 507,500 ",1/13/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,19, ,A5,59 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,759 "," 1,700 ",2004,1,A5," 529,000 ",1/9/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,20, ,A5,57 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,759 "," 1,700 ",2004,1,A5," 512,900 ",10/6/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,22, ,A5,53 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,759 "," 1,700 ",2004,1,A5," 483,000 ",6/30/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,23, ,A5,51 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,567 "," 1,700 ",2004,1,A5," 477,000 ",6/20/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,10, ,A5,53 BARB STREET                           ,            ,10312, 1 , -   , 1 ," 1,585 "," 1,339 ",2004,1,A5," 520,000 ",3/15/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,21, ,A5,29 BARB STREET                           ,            ,10312, 1 , -   , 1 ," 1,485 "," 1,339 ",2004,1,A5, -   ,1/6/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,24, ,A5,23 BARB STREET                           ,            ,10312, 1 , -   , 1 ," 2,575 "," 1,339 ",2004,1,A5," 500,000 ",9/20/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6221,47, ,A5,43 JEANNETTE AVENUE                      ,            ,10312, 1 , -   , 1 ," 2,400 "," 1,580 ",2004,1,A5," 542,000 ",2/24/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,37, ,A1,770 ANNADALE ROAD                        ,            ,10312, 1 , -   , 1 ," 7,000 "," 1,386 ",1925,1,A1, -   ,7/15/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,93, ,A2,55 JEFFERSON BOULEVARD                   ,            ,10312, 1 , -   , 1 ," 3,402 "," 1,360 ",1930,1,A2," 442,000 ",11/7/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,136, ,A1,941 CARLTON BOULEVARD                    ,            ,10312, 1 , -   , 1 ," 4,785 ", 944 ,1910,1,A1," 405,000 ",10/26/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,10, ,A2,117 JEFFERSON BOULEVARD                  ,            ,10312, 1 , -   , 1 ," 5,000 "," 1,096 ",1965,1,A2, -   ,5/17/2016
